m gen time
3 46 0.984
3 28 0.824
3 28 0.819
3 28 0.828
4 18 1.416
3 23 0.78
3 50 0.973
3 17 0.743
3 15 0.747
3 42 0.902
3 31 0.869
3 33 0.856
4 16 1.389
3 38 0.897
3 92 1.287
3 25 0.799
4 24 1.425
3 9 0.704
3 9 0.699
3 7 1.48
3 25 0.805
3 25 0.815
3 75 1.129
3 53 0.97
3 40 0.898
3 26 0.812
3 29 0.89
3 41 0.898
4 9 3.302
3 35 2.306
3 15 0.763
3 11 0.735
3 19 0.836
3 19 0.78
3 32 0.852
3 76 1.127
4 10 1.343
3 18 2.002
3 30 2.176
3 37 2.294
3 119 2.088
3 21 1.475
4 7 4.893
3 32 3.897
3 40 4.008
3 63 4.357
3 79 4.713
3 23 3.775
3 11 3.498
3 26 3.777
3 120 5.365
3 40 3.997
4 33 7.263
3 40 4.06
3 29 3.836
3 96 4.907
3 26 3.803
3 13 3.587
4 1 6.666
3 55 4.249
3 39 0.941
4 18 1.435
3 44 0.966
3 24 0.811
3 24 0.843
4 14 1.411
3 48 1.909
3 28 2.19
3 24 2.1
4 30 3.953
3 2 1.772
3 42 2.394
3 41 2.377
3 89 3.125
4 20 3.824
3 18 2.042
4 2 3.455
3 34 2.334
3 50 2.584
4 3 3.472
3 28 0.837
4 14 1.482
3 38 0.917
4 40 3.017
3 31 2.404
3 59 2.801
3 18 2.096
3 66 3.012
4 15 3.762
3 37 2.572
3 63 3.01
3 36 2.456
3 60 2.792
3 6 1.885
3 41 2.568
3 14 2.039
4 2 3.583
3 17 2.133
3 28 2.266
4 12 3.648
