min gen time
5 67 14.938
5 129 15.464
4 401 13.731
5 126 15.469
5 109 15.755
4 316 12.659
5 123 15.685
4 321 12.63
4 295 12.347
4 123 11.131
4 184 14.506
5 110 16.457
4 250 11.852
5 138 14.219
5 69 13.473
4 122 9.669
5 126 13.708
4 190 9.667
4 182 9.64
4 278 10.23
4 198 13.012
4 215 12.986
4 202 12.886
4 224 13.352
4 161 12.604
4 136 12.16
4 171 13.083
5 104 18.678
4 133 12.353
5 92 17.762
4 127 12.412
4 291 14.154
5 68 17.345
4 278 14.023
5 127 17.856
4 126 12.656
4 192 13.734
4 189 13.216
4 141 12.468
4 336 14.599
4 126 13.305
4 275 15.145
5 94 19.114
4 107 12.896
5 39 17.515
5 63 17.561
4 134 12.386
4 246 14.306
4 233 13.889
4 149 13.566
4 198 13.871
4 205 13.453
4 122 12.591
5 143 18.302
4 188 13.41
5 114 18.147
4 116 12.523
4 136 12.642
4 169 13.322
4 170 13.421
5 179 18.231
4 168 12.838
4 127 12.298
4 207 13.382
4 348 14.186
4 206 13.389
4 372 14.831
4 203 12.808
4 195 12.495
4 186 12.417
4 121 11.731
4 128 11.903
4 139 12.012
4 143 6.833
4 180 12.402
4 149 11.996
4 250 13.042
4 230 15.519
4 178 15.07
4 238 17.313
4 135 21.107
4 105 19.498
5 174 33.145
4 164 21.433
4 127 21.149
4 174 24.584
4 158 21.115
4 109 21.644
4 109 21.621
4 172 21.029
4 339 23.321
4 212 21.907
4 181 20.935
4 215 21.074
4 140 21.691
5 98 31.598
4 110 22.735
4 130 24.137
4 168 23.542
4 156 20.761


