m gen time
4 58 5.448
4 52 10.685
4 38 10.217
4 37 10.149
4 54 10.625
4 77 12.475
4 59 10.845
4 73 10.857
4 31 10.175
4 30 10.387
4 43 10.765
4 20 9.755
4 15 9.98
4 51 11.461
4 46 10.657
4 20 9.815
4 25 9.941
4 30 10.368
4 52 10.885
4 34 10.223
4 34 5.763
4 65 5.965
4 41 5.794
4 49 5.75
4 39 5.603
4 46 5.682
4 25 5.632
4 39 5.787
4 26 5.544
4 71 6.071
4 26 5.671
4 53 5.942
4 30 5.669
4 57 5.847
4 32 5.573
4 36 5.582
4 78 5.943
4 61 5.791
4 34 5.608
4 44 5.813
4 74 6.14
4 29 5.657
4 34 5.659
4 23 5.49
4 25 5.543
4 25 5.603
4 26 5.491
4 34 5.586
4 29 5.651
5 45 8.582
4 24 5.565
4 57 7.598
4 42 15.874
4 65 7.816
4 36 6.851
4 28 6.081
4 50 7.768
4 50 5.933
4 52 7.229
4 38 6.548
4 28 4.589
4 64 5.67
4 39 5.354
4 106 4.992
4 70 4.753
4 68 6.43
4 28 5.315
4 54 4.938
4 99 10.446
4 17 4.308
4 23 11.299
4 33 10.548
4 49 4.625
4 40 9.851
4 14 9.444
4 44 9.648
4 34 11.62
4 46 9.022
4 38 7.385
4 29 11.528
4 76 6.096
4 32 5.737
4 29 5.702
4 41 5.761
4 63 6.247
4 25 5.675
4 26 5.726
4 38 5.792
4 38 5.855
4 34 14.572
4 39 15.752
4 65 15.728
4 27 9.707
4 52 13.237
4 46 6.122
4 22 15.37
4 75 15.908
4 50 15.439
4 36 15.147
4 26 14.819
4 63 6.021
4 39 8.729
4 30 14.948
4 26 14.78
4 25 14.706
4 33 9.175
4 45 15.044
4 138 17.38
4 65 15.801
4 46 15.133
4 41 15.292
4 71 15.981
4 69 15.627
4 62 9.984
4 29 15.451
4 25 14.688
4 38 15.671
4 36 15.684
4 55 15.24
4 18 14.637
