min gen time
3 152 2.816
4 44 4.457
3 73 2.507
3 264 3.3
3 35 2.337
3 56 2.416
4 41 9.355
3 51 2.51
3 183 3.058
3 108 2.752
3 51 2.392
3 52 2.538
3 56 2.644
3 60 2.536
3 214 3.13
3 199 3.098
3 92 2.685
3 235 3.309
3 86 2.636
3 29 2.327
4 46 3.888
4 51 4.07
3 96 2.315
3 68 2.564
3 199 2.985
3 110 2.543
3 75 2.267
4 28 3.766
3 59 2.057
3 115 2.392
3 93 2.261
3 271 3.051
3 106 2.398
4 35 4.209
3 174 2.688
4 62 4.196
3 61 2.15
3 98 2.274
3 353 3.237
3 49 2.054
3 162 2.438
3 155 2.463
3 49 2.069
3 52 2.187
3 60 2.105
3 104 2.235
3 81 2.377
3 419 3.421
3 149 2.865
3 92 2.295
3 41 2.104
3 192 3.149
3 50 2.087
3 149 2.434
3 102 2.463
3 179 2.483
3 83 2.153
3 363 3.399
3 254 2.904
4 40 4.243
3 467 3.66
3 68 2.18
3 56 2.165
4 19 3.706
3 371 3.276
3 95 2.512
3 211 3.09
3 158 3.013
3 393 3.989
3 119 2.377
3 50 2.079
3 410 3.625
3 136 2.346
3 398 3.319
3 85 2.235
3 262 2.821
3 53 2.09
3 24 2.321
3 259 2.97
3 163 2.606
3 158 2.432
3 103 2.277
3 48 2.039
4 11 3.68
3 260 2.907
3 82 2.502
3 77 2.181
3 166 2.503
3 51 2.078
4 30 4.093
3 142 2.702
4 66 4.246
3 130 2.561
3 82 2.878
3 97 3.416
3 42 2.664
4 40 5.337
3 52 2.908
3 79 2.741
3 330 3.354



