m gen time
4 4 0.812
4 3 0.805
4 8 0.842
4 4 0.837
4 4 0.821
4 7 0.868
4 2 0.813
4 3 0.827
4 1 0.819
4 5 0.816
4 1 0.101
4 1 0.803
5 5 0.084
4 14 0.853
4 1 0.781
4 3 0.841
 4 6 0.803
4 1 0.783
4 2 0.795
4 2 0.808
4 16 0.823
4 4 0.81
4 25 0.935
4 11 0.837
4 9 0.837
4 5 0.825
4 4 0.874
4 6 0.813
4 12 0.812
4 4 0.807
4 1 0.798
4 2 0.779
4 1 0.804
4 7 0.847
4 9 0.823
4 0 0.798
4 2 0.797
4 7 0.843
4 3 0.806
4 7 0.822
4 7 0.826
4 2 0.784
4 4 0.808
4 5 0.803
4 3 0.771
4 1 0.766
4 7 0.787
4 4 0.843
4 3 0.808
4 3 0.825
4 8 0.826
4 5 0.815
4 3 0.809
4 1 0.807
4 3 0.8
4 5 0.784
4 7 0.811
4 3 0.784
4 3 0.793
4 2 0.794
4 5 0.803
4 3 0.834
4 2 0.768
4 3 0.782
4 1 0.766
4 3 0.794
4 5 0.779
4 6 0.802
4 5 0.85
4 6 0.804
4 3 0.771
4 5 0.793
4 7 0.807
4 8 0.811
4 3 0.773
4 7 0.877
4 1 0.792
4 2 0.795
4 5 0.778
4 14 0.833
4 5 0.791
4 8 1.551
4 1 2.085
4 4 1.782
4 2 0.791
4 1 0.789
4 5 0.841
4 6 0.803
4 0 0.765
4 7 1.965
4 21 2.044
4 4 0.813
4 14 0.838
4 9 0.798
4 7 0.809
4 1 1.502
4 6 2.165
4 3 2.076
4 8 2.125
3 86 2.001
4 2 2.07
4 7 1.493
4 2 0.798
4 9 0.846
4 8 0.849
4 4 0.79
4 6 1.63
4 8 2.147
4 5 2.166
4 1 2.038
4 9 2.119
4 2 2.149
4 1 2.125
4 4 2.14
4 5 2.176
4 1 2.073
