min gen time
9 381 93.44
8 276 78.74
7 246 65.79
7 389 69.19
8 374 81.11
7 310 67.55
7 432 70.26
7 446 70.84
7 341 68.35
9 299 95.011
8 251 78.34
8 341 84.41
8 307 83.74
7 394 71.492
8 386 83.616
7 271 67.17
7 348 69.01
8 374 82.361
8 212 83.449
8 288 84.603
7 366 94.358
7 418 93.857
7 328 92.073
9 275 121.727
8 281 106.805
7 250 122.824
8 458 114.155
7 422 98.186
9 351 119.43
7 348 87.47
9 343 120.919
8 242 102.469
8 354 106.93
8 307 109.341
7 441 94.157
8 319 105.364
9 252 121.223
7 432 94.711
8 229 107.975
9 418 125.947
7 365 106.439
7 248 102.122
7 417 106.455
7 485 108.233
7 470 108.092
7 377 104.583
7 371 104.567
7 421 178.511
7 460 161.382
8 436 125.627
8 273 119.59
7 348 105.328
7 358 104.286
7 407 105.909
10 290 155.641
7 295 101.447
7 435 106.892
7 404 105.596
8 272 118.81
7 410 106.33
7 290 101.712
7 362 104.582
7 431 107.703
7 305 106.7
7 495 111.29
8 465 127.221
8 430 125.34
8 415 124.26
7 448 107.29
7 289 101.55
7 316 103
7 467 108.571
8 374 123.2
7 491 109.29
8 325 121.14
7 437 107.08
7 358 104
7 347 103.43
7 363 104.671
7 363 104.33
